Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
247325,-3.56,-28.71,-2.90,-1.11,-13.88,-3.98,-19.50,54.63,-41.86
248398,-2.37,-11.87,-1.95,1.96,-0.06,-0.36,-36.39,44.02,-0.35
249471,-1.46,-9.34,-1.45,-0.46,0.41,0.37,-37.37,41.39,3.14
250544,-0.13,-9.41,-0.96,0.47,0.22,-0.04,-83.75,50.82,-5.88
251617,-1.42,-9.23,-0.53,-0.73,1.27,0.08,-92.27,54.59,-32.21
252693,-1.20,-9.94,-1.81,-0.55,-1.52,-0.00,-84.35,57.28,-55.42
253766,-1.79,-9.59,-1.86,0.16,-0.14,0.11,-85.88,59.53,-45.86
254883,-1.05,-9.82,-2.25,0.41,1.72,0.19,-83.37,60.04,-50.88
255955,-1.30,-8.47,-1.69,0.59,1.55,0.18,-34.52,48.61,-71.13
257028,-1.87,-9.54,-1.95,-0.12,0.85,-0.08,-20.46,45.40,-56.45
258101,-1.11,-10.22,-1.84,0.20,0.83,0.47,-39.80,41.08,0.13
259174,-1.60,-9.62,-1.66,0.09,0.26,-0.09,-76.43,48.98,-7.09
260247,-3.15,-10.07,-1.12,0.25,-0.86,-0.84,-68.78,47.37,-1.74
261323,-2.93,-9.53,0.32,0.09,-0.02,0.46,-64.82,54.59,-3.04
262396,-0.58,-9.85,0.04,0.01,-0.01,-0.03,-81.99,51.77,-12.89
263469,-0.54,-9.88,0.09,0.01,-0.02,-0.01,-80.59,51.61,-11.33
264542,-0.56,-9.88,0.13,0.00,0.00,-0.00,-80.17,51.93,-9.87
265658,-0.44,-9.91,0.08,0.04,0.03,0.01,-79.32,51.67,-9.65
266731,-0.31,-10.03,0.46,0.33,-0.14,-0.14,-79.20,52.59,-9.13
267804,-1.75,-8.78,-1.27,-0.91,-0.64,-0.03,-75.45,52.48,-7.50
268877,-1.58,-9.73,-0.98,0.14,0.55,-0.23,-72.71,48.96,-3.95
269952,-0.92,-9.58,-1.93,0.11,0.14,0.00,-85.81,48.58,-16.14
271025,-0.60,-9.83,-2.01,-0.05,0.09,-0.23,-83.63,48.48,-12.36
272098,-1.52,-9.45,-1.63,-0.25,-0.24,0.05,-68.84,46.14,-0.42
273171,-1.81,-9.23,-2.13,-0.16,0.11,-0.11,-70.84,46.89,-3.07
274244,-1.69,-9.62,-1.53,-0.07,0.03,-0.05,-72.27,47.52,-3.01
275317,-0.27,-10.25,1.02,-0.54,-0.09,0.02,-81.64,51.56,-11.47
276390,-1.08,-9.77,0.13,-0.06,-0.31,0.15,-77.70,53.04,-8.59
277507,-1.32,-9.79,0.33,-0.03,-0.07,0.04,-75.10,53.43,-6.18
278580,-1.70,-9.60,-0.58,-0.03,0.06,-0.03,-62.28,48.39,1.39
279655,-1.14,-9.83,-0.76,-0.05,0.07,0.06,-82.64,52.41,-13.01
280728,-1.66,-9.84,0.75,0.07,-0.04,-0.02,-78.79,56.37,-11.88
281801,-0.96,-9.52,2.71,-0.00,-0.02,-0.02,-79.63,59.69,-17.03
282874,-0.81,-9.56,2.66,-0.05,0.09,-0.04,-81.03,58.96,-16.43
283947,-0.82,-9.74,1.26,-0.05,-0.04,0.02,-84.86,55.67,-18.94
285020,-0.88,-9.88,1.29,-0.04,-0.11,0.07,-83.97,55.51,-18.49
286093,-1.63,-9.71,0.63,-0.77,-0.92,0.33,-75.72,55.31,-7.47
287166,-2.20,-9.62,0.10,-0.04,0.03,-0.01,-62.83,51.74,-0.37
288285,-1.62,-9.45,-1.98,0.25,0.41,0.16,-78.18,49.09,-7.35
289358,-0.68,-8.81,-2.68,-0.44,2.60,0.23,-89.36,54.62,-32.14
290431,-1.86,-9.87,-2.71,1.01,-2.03,-0.68,-85.05,58.39,-49.36
291504,-1.56,-9.72,-1.42,-0.22,0.10,0.08,-86.70,55.77,-24.64
292577,-2.01,-9.29,-1.80,0.60,-0.00,-0.30,-83.66,53.05,-17.07
293650,-2.13,-9.68,-2.67,-0.14,0.46,0.12,-85.94,53.65,-22.22
294723,0.05,-9.76,-1.55,-0.03,0.08,0.04,-91.42,49.81,-34.00
295796,0.07,-9.87,-0.56,0.11,0.03,-0.03,-91.35,50.72,-38.89
296872,-0.31,-9.91,-0.05,0.04,-0.20,-0.03,-90.18,51.55,-37.40
297945,-0.22,-9.77,1.78,0.34,0.00,0.03,-89.01,53.87,-32.51
299061,-2.07,-10.02,0.86,-0.10,-0.50,-0.09,-85.40,57.83,-25.62
300134,-0.67,-9.97,-0.71,0.12,-0.25,-0.32,-66.69,47.21,-0.63
301207,-0.56,-9.99,0.26,0.11,0.32,-0.09,-78.28,52.31,-10.08
302280,-0.53,-9.90,0.31,0.01,0.05,0.00,-80.43,51.86,-12.12
303353,-0.62,-9.81,0.11,-0.04,-0.09,0.06,-82.86,52.66,-14.63
304426,-0.58,-9.82,0.42,0.09,-0.24,-0.03,-77.87,53.07,-9.95
305499,-0.36,-9.90,1.71,-0.11,-0.07,-0.18,-57.56,54.57,-1.11
306575,-4.39,-7.74,0.00,1.26,0.93,0.37,-42.18,45.92,0.96
307648,-0.33,-9.81,1.11,-0.06,0.18,-0.01,-46.76,51.46,0.09
308721,-0.27,-9.61,2.52,-0.00,0.00,-0.00,-54.31,58.23,-2.72
309794,-0.27,-9.60,2.47,0.02,0.01,-0.00,-52.86,57.04,-2.86
310910,-0.22,-9.61,2.55,0.12,0.18,-0.05,-53.76,57.75,-2.94
311983,-0.25,-9.47,2.95,0.01,0.01,-0.00,-57.15,59.59,-4.81
313056,-0.02,-9.51,2.86,0.00,0.00,0.00,-55.73,58.58,-4.24
314129,0.14,-9.57,2.72,-0.01,0.01,-0.01,-55.16,58.37,-2.81
315205,0.15,-9.54,2.75,0.01,0.01,-0.01,-55.14,58.24,-4.11
316278,0.20,-9.56,2.72,-0.00,0.01,-0.00,-55.06,58.51,-2.84
317351,0.12,-9.50,2.80,0.08,0.16,0.06,-54.76,58.80,-2.91
318424,0.09,-9.53,2.82,0.00,0.04,0.01,-55.19,58.81,-3.41
319497,0.01,-9.54,2.84,0.03,0.02,-0.01,-55.42,59.18,-3.03
320570,-0.26,-9.42,2.96,0.09,0.22,0.06,-56.62,59.46,-4.25
321643,0.22,-9.54,2.80,0.01,0.00,0.01,-54.57,58.99,-3.41
322759,0.21,-9.52,2.84,-0.00,0.02,0.00,-54.60,58.62,-4.06
323832,0.23,-9.58,2.76,-0.06,-0.27,0.01,-53.79,58.90,-3.14
324908,0.77,-9.50,2.78,0.02,0.01,-0.01,-49.96,58.70,-4.17
325981,0.77,-9.49,2.79,0.01,0.01,-0.01,-49.97,58.78,-3.07
327054,0.77,-9.52,2.78,-0.00,0.01,-0.00,-50.01,58.84,-4.28
