Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
257518,-3.21,-5.52,-6.68,-2.43,2.53,0.86,-65.32,22.43,-14.73
258588,0.12,-12.88,-2.15,-0.24,-0.48,0.39,-35.37,36.31,-11.11
259659,0.67,-8.18,5.82,0.02,0.90,-0.29,-49.44,56.93,-25.15
260730,1.30,-7.67,6.40,0.33,0.56,-0.40,-48.25,57.38,-27.61
261842,-0.65,-3.86,9.46,0.19,-0.03,0.08,-45.16,57.57,-39.64
262916,0.39,-8.09,4.48,0.43,0.21,-0.37,-44.80,55.03,-24.32
263987,0.04,-8.80,2.90,-0.45,-0.94,0.65,-36.47,49.96,-21.86
265057,-0.32,-9.87,-1.92,-0.79,-0.32,-0.32,-32.23,38.57,-11.85
266128,-2.63,-9.07,3.01,-0.20,0.05,-0.07,-29.41,42.62,-15.55
267199,-2.77,-9.07,2.94,0.04,0.00,-0.07,-29.01,42.55,-15.87
268269,-2.15,-19.17,-1.77,7.01,0.33,-3.34,-36.39,51.10,-16.44
269340,-1.07,-10.66,2.94,0.27,0.02,-0.41,-42.66,49.36,-10.87
270411,-1.64,-9.28,2.79,0.82,-1.44,-0.37,-47.68,52.03,-10.86
271484,3.68,-8.38,4.17,-0.08,-0.07,0.25,-55.07,55.44,-14.88
272555,4.72,-7.35,6.52,-1.01,-0.46,1.92,-59.89,61.87,-25.20
273667,3.75,-4.82,8.17,0.11,0.03,0.09,-54.47,64.40,-34.52
274738,4.01,-4.25,8.00,-0.09,0.29,-0.04,-54.18,63.75,-36.14
275809,5.32,-8.43,10.49,1.80,1.44,-0.71,-54.98,63.93,-38.69
276879,1.30,-6.75,7.82,0.07,-0.25,0.94,-50.07,62.83,-27.68
277950,1.25,-5.17,7.93,1.10,-0.07,0.08,-45.95,62.77,-33.98
279021,-1.71,2.83,9.72,1.84,-3.12,-2.51,-76.94,57.47,-43.70
280091,4.86,-6.08,6.49,1.04,-1.43,1.92,-67.07,59.24,-25.33
281165,3.33,-6.45,7.05,-0.01,-0.04,0.00,-63.87,60.54,-26.82
282236,3.47,-6.77,6.60,0.02,0.05,-0.05,-62.96,60.39,-25.02
283306,3.51,-6.73,6.61,0.02,0.05,-0.03,-63.05,60.10,-24.55
284377,3.55,-6.56,6.93,0.01,-0.02,0.00,-64.02,60.26,-24.95
285490,2.88,-6.64,6.91,0.04,-0.05,-0.04,-60.99,62.03,-26.16
286561,3.33,-7.79,6.89,0.29,-0.25,0.35,-58.77,60.29,-22.62
287631,3.42,-4.55,8.38,-0.21,0.08,0.01,-55.76,63.69,-36.57
288702,3.73,-9.43,0.93,-1.19,0.43,0.16,-58.83,49.71,-8.40
289776,2.81,-9.78,-2.21,-0.36,0.35,0.62,-42.05,41.57,-0.60
290846,4.19,-11.91,-0.26,-1.27,0.65,0.03,-49.09,36.20,2.21
291917,4.60,-5.07,2.83,1.26,1.94,-2.37,-76.19,55.99,-17.45
292988,-10.42,7.61,6.61,1.65,-2.37,0.40,-72.52,5.00,-38.03
294059,4.02,-10.89,-0.99,-2.13,1.94,-0.04,-59.47,36.88,0.98
295130,2.03,-8.39,-2.00,1.24,0.04,0.09,-74.35,40.46,-1.46
296200,1.02,-9.72,0.34,-0.19,-0.02,-0.21,-73.43,45.85,-2.25
297314,0.96,-11.38,-0.50,0.47,-0.88,0.37,-89.32,37.93,-18.71
298385,1.22,-9.17,2.09,0.55,-0.03,0.01,-61.85,54.24,-1.56
299459,0.47,-7.76,4.89,0.17,-0.16,0.04,-23.19,55.45,-19.64
300530,2.09,-9.22,3.11,-0.08,-0.14,-0.06,-57.78,55.41,-2.12
301600,1.32,-9.01,4.16,0.19,0.38,0.10,-61.09,58.10,-3.57
302671,-0.37,-7.15,3.74,-0.83,-1.20,-4.24,-73.17,63.36,-16.50
303742,2.10,-9.69,1.63,0.08,-0.06,-0.01,-44.49,52.28,0.85
304813,1.44,-8.93,5.10,-0.56,0.03,-0.22,-79.66,52.44,-11.72
305884,1.82,-10.66,-1.64,0.56,-0.50,0.60,-91.01,40.75,-38.16
306954,2.61,-9.88,-2.55,-0.23,2.25,0.35,-45.45,52.69,-63.58
308071,2.99,-8.77,1.55,0.42,0.36,-1.19,-17.51,43.88,-42.34
309141,2.17,-7.31,6.19,0.54,-0.20,-0.45,-20.99,43.50,-53.61
310212,-1.56,-7.25,5.03,-0.54,-0.56,1.10,-18.28,48.87,-29.57
311283,-0.25,-8.61,3.41,-0.46,0.17,-0.05,-16.50,43.96,-29.22
312354,-0.72,-10.08,-0.44,0.37,0.10,-0.72,-23.00,38.15,-2.38
313425,-3.23,-8.86,4.62,-2.24,0.93,-3.84,-36.33,51.01,2.27
314495,1.80,-8.90,2.92,1.82,0.25,-0.42,-39.14,59.84,-4.82
315566,-0.51,-9.28,4.94,-0.48,-0.60,0.54,-42.31,60.61,-3.45
316637,8.16,-15.74,6.53,2.16,-0.59,1.42,-39.86,62.35,-5.58
317711,-1.21,-6.69,7.30,-0.17,-0.90,-0.32,-44.59,72.32,-19.39
318781,1.21,-6.18,8.05,-0.37,0.28,-0.10,-40.82,71.88,-23.78
319896,0.88,-5.37,8.39,0.03,-0.07,0.05,-43.41,73.18,-25.45
320966,2.26,3.70,10.44,-1.48,1.96,3.27,-67.86,72.52,-25.37
322037,3.35,-0.47,9.60,0.47,0.87,-1.04,-72.98,70.52,-30.72
323108,1.20,-3.26,9.70,0.36,-0.18,0.01,-69.64,72.73,-34.70
324179,1.81,-2.18,9.72,0.17,0.02,0.01,-70.08,71.91,-37.53
325249,2.12,-8.68,6.33,-1.49,1.39,-0.13,-29.58,67.01,-27.65
326323,3.00,-7.59,5.89,-0.05,0.04,0.01,-27.76,65.49,-25.45
327394,1.99,-9.94,5.17,-1.12,-0.53,-0.07,-25.37,63.04,-24.51
328465,1.52,-11.01,0.36,0.44,1.65,0.10,-27.59,49.15,-60.51
329535,0.21,-9.68,-4.82,1.17,0.44,-0.71,-50.26,55.06,-67.86
330606,0.94,-10.42,0.64,-0.30,0.14,-0.13,-25.50,43.66,-63.01
331719,-1.46,-7.57,5.69,-0.46,-0.59,-0.35,-14.73,42.52,-26.43
332790,1.91,-9.40,0.09,-0.09,-0.48,-0.33,-21.24,47.72,-54.44
333861,1.49,-9.55,-1.25,0.06,-0.49,-0.44,-21.25,46.54,-55.33
334932,1.65,-10.12,2.63,2.32,-1.71,-0.97,-27.55,38.72,-65.77
336005,4.07,-8.37,3.32,-0.00,0.03,-0.02,-75.78,23.82,-61.55
337076,1.22,-9.64,-2.14,0.28,0.52,-0.12,-45.47,46.89,-71.46
